pidlink,sex,age
007080004,1.0,40.0
007080005,1.0,15.0
007085102,3.0,42.0
007090001,3.0,57.0
007090002,1.0,38.0
007090005,3.0,34.0
007100002,3.0,72.0
007110004,1.0,43.0
007110005,3.0,42.0
007120002,3.0,94.0
007130001,1.0,47.0
007130002,3.0,47.0
007130004,3.0,30.0
007130005,3.0,19.0
007130006,1.0,17.0
007135101,1.0,31.0
007140001,1.0,61.0
007140002,3.0,65.0
007140004,3.0,32.0
007140005,1.0,27.0
007143108,1.0,34.0
007150002,3.0,74.0
007150003,1.0,40.0
007150004,3.0,43.0
007150005,3.0,19.0
007150006,3.0,18.0
007160001,1.0,58.0
007160002,3.0,57.0
007160004,3.0,32.0
007160006,1.0,27.0
007160007,3.0,24.0
007163107,1.0,31.0
007165102,3.0,25.0
007180001,1.0,62.0
007180002,3.0,60.0
007180003,1.0,34.0
007180004,3.0,32.0
007180005,1.0,26.0
007180007,1.0,22.0
007180009,3.0,37.0
007184101,1.0,37.0
007185102,3.0,22.0
007185203,1.0,34.0
007200001,1.0,61.0
007200002,3.0,59.0
007200003,3.0,33.0
007202101,1.0,63.0
007202102,3.0,48.0
007220001,1.0,51.0
007220002,3.0,47.0
007220003,3.0,22.0
007220004,1.0,16.0
007230002,3.0,70.0
007230003,1.0,45.0
007230004,1.0,35.0
007230006,3.0,29.0
007230010,3.0,28.0
007233102,3.0,41.0
007233103,1.0,17.0
007233104,1.0,15.0
007235101,1.0,37.0
007240002,3.0,61.0
007240003,1.0,34.0
007240004,1.0,30.0
007240005,3.0,30.0
007250002,3.0,42.0
007250004,1.0,56.0
007250005,3.0,42.0
007250006,1.0,28.0
007250008,1.0,24.0
007250009,1.0,16.0
007254102,1.0,15.0
007254103,1.0,15.0
007260001,1.0,52.0
007260002,3.0,54.0
007260003,3.0,27.0
007260004,1.0,25.0
007260005,1.0,24.0
007270003,1.0,61.0
007280002,3.0,70.0
007280005,3.0,33.0
007285101,1.0,28.0
007290001,1.0,64.0
007290002,3.0,50.0
008010001,1.0,52.0
008010002,3.0,49.0
008010003,1.0,29.0
008010004,3.0,27.0
008010005,3.0,23.0
008010006,1.0,21.0
008014102,3.0,30.0
008014202,1.0,32.0
008015101,1.0,25.0
008020001,1.0,57.0
008020002,3.0,54.0
008020004,3.0,33.0
008020005,3.0,31.0
008020008,3.0,23.0
008020009,3.0,17.0
008024201,1.0,37.0
008030001,1.0,51.0
008030002,3.0,47.0
008030004,1.0,23.0
008030006,3.0,20.0
008030007,1.0,18.0
008033102,3.0,48.0
008033103,3.0,27.0
008033104,1.0,20.0
008040001,1.0,57.0
008040002,3.0,56.0
008040003,1.0,38.0
008040004,1.0,38.0
008040005,1.0,32.0
008040007,3.0,33.0
008043102,3.0,35.0
008043103,3.0,15.0
008044102,3.0,30.0
008045103,3.0,17.0
008050001,1.0,55.0
008050002,3.0,52.0
008050003,1.0,28.0
008050005,3.0,23.0
008050007,1.0,17.0
008055101,1.0,33.0
008060002,3.0,78.0
008060003,1.0,35.0
008070001,1.0,62.0
008070002,3.0,58.0
008070004,1.0,33.0
008070005,3.0,30.0
008074102,3.0,26.0
008074201,1.0,49.0
008080001,1.0,58.0
008080002,3.0,52.0
008080003,3.0,34.0
008080004,3.0,33.0
008080005,1.0,30.0
008080006,1.0,23.0
008080007,3.0,19.0
008083101,1.0,40.0
008084101,1.0,33.0
008085102,3.0,21.0
008090001,1.0,62.0
008090002,3.0,60.0
008090005,1.0,33.0
008090006,1.0,31.0
008090007,1.0,25.0
008090008,3.0,23.0
008094102,3.0,33.0
008094202,3.0,29.0
008095102,3.0,22.0
008095201,1.0,26.0
008100001,1.0,64.0
008100002,3.0,58.0
008100003,3.0,38.0
008100005,1.0,32.0
008100006,3.0,31.0
008110001,1.0,55.0
008110002,3.0,52.0
008110003,1.0,29.0
008110005,3.0,23.0
008110007,3.0,19.0
008110009,1.0,21.0
008115102,3.0,23.0
008115201,1.0,25.0
008120001,1.0,57.0
008120002,3.0,54.0
008120004,1.0,26.0
008120005,3.0,24.0
008120006,3.0,22.0
008120007,3.0,16.0
008125102,3.0,27.0
008125201,1.0,28.0
008125301,1.0,25.0
008130001,1.0,49.0
008130002,3.0,49.0
008130004,3.0,25.0
008130005,3.0,17.0
008130006,1.0,28.0
008140001,1.0,62.0
008140002,3.0,51.0
008140003,1.0,38.0
008140005,3.0,31.0
008140006,1.0,25.0
008144102,3.0,29.0
008144201,1.0,34.0
008145102,3.0,22.0
008150002,3.0,54.0
008150003,3.0,38.0
008150004,3.0,34.0
008150005,3.0,28.0
008150006,1.0,24.0
008150007,3.0,23.0
008150008,3.0,23.0
008153101,1.0,43.0
008153103,1.0,15.0
008153201,1.0,37.0
008155101,1.0,32.0
008155201,1.0,29.0
008160002,1.0,46.0
008160004,3.0,42.0
008160005,1.0,19.0
008160006,1.0,17.0
008170001,1.0,87.0
008170002,3.0,79.0
008170003,3.0,38.0
008170004,1.0,32.0
008170005,1.0,43.0
008170006,3.0,33.0
008173103,3.0,17.0
008190001,3.0,86.0
008190003,3.0,40.0
008190004,1.0,46.0
008190005,1.0,22.0
008190006,1.0,20.0
008200001,1.0,64.0
008200002,3.0,53.0
008200003,3.0,27.0
008200004,1.0,22.0
008200005,3.0,20.0
008200007,1.0,57.0
008204101,1.0,33.0
008205202,1.0,49.0
008210004,3.0,28.0
008210010,1.0,30.0
008220001,1.0,49.0
008220002,3.0,48.0
008220003,1.0,29.0
